TIME_PERIOD,OBS_VALUE,Tau
16JAN2020,0.036291078,15
16JAN2020,0.0724026694,16
16JAN2020,0.105524153,17
16JAN2020,0.1358939229,18
16JAN2020,0.1637499304,19
16JAN2020,0.1893215422,20
16JAN2020,0.2128246661,21
16JAN2020,0.2344591597,22
16JAN2020,0.2544077968,23
16JAN2020,0.2728362587,24
16JAN2020,0.2898937747,25
16JAN2020,0.3057141425,26
16JAN2020,0.3204169471,27
16JAN2020,0.3341088539,28
16JAN2020,0.3468848964,29
16JAN2020,0.3588297093,30
17JAN2020,-0.609043921,1
17JAN2020,-0.607014535,2
17JAN2020,-0.581187752,3
17JAN2020,-0.538886414,4
17JAN2020,-0.486053393,5
17JAN2020,-0.427285745,6
17JAN2020,-0.365996733,7
17JAN2020,-0.304621098,8
17JAN2020,-0.244819282,9
17JAN2020,-0.187659778,10
17JAN2020,-0.133772,11
17JAN2020,-0.083469079,12
17JAN2020,-0.036843367,13
17JAN2020,0.0061612278,14
17JAN2020,0.0456957342,15
17JAN2020,0.0819674505,16
17JAN2020,0.1152126623,17
17JAN2020,0.1456779236,18
17JAN2020,0.1736076476,19
17JAN2020,0.1992362636,20
17JAN2020,0.2227836111,21
17JAN2020,0.2444525803,22
17JAN2020,0.2644282693,23
17JAN2020,0.2828781337,24
17JAN2020,0.2999527512,25
17JAN2020,0.3157869415,26
17JAN2020,0.3305010625,27
17JAN2020,0.3442023629,28
17JAN2020,0.3569863163,29
17JAN2020,0.3689378894,30
20JAN2020,-0.595880077,1
20JAN2020,-0.601691025,2
20JAN2020,-0.580848193,3
20JAN2020,-0.541721094,4
20JAN2020,-0.490923093,5
20JAN2020,-0.433478023,6
20JAN2020,-0.373068835,7
20JAN2020,-0.312299308,8
20JAN2020,-0.252934853,9
20JAN2020,-0.196108473,10
20JAN2020,-0.142488766,11
20JAN2020,-0.092412362,12
20JAN2020,-0.045985517,13
20JAN2020,-0.003160268,14
20JAN2020,0.0362097046,15
20JAN2020,0.0723289656,16
20JAN2020,0.1054321766,17
20JAN2020,0.1357648677,18
20JAN2020,0.1635707379,19
20JAN2020,0.1890836514,20
20JAN2020,0.2125229491,21
20JAN2020,0.2340910487,22
20JAN2020,0.2539725883,23
20JAN2020,0.2723345707,24
20JAN2020,0.2893271318,25
20JAN2020,0.3050846637,26
20JAN2020,0.3197271152,27
20JAN2020,0.3333613479,28
20JAN2020,0.3460824724,29
20JAN2020,0.3579751174,30
21JAN2020,-0.59120882,1
21JAN2020,-0.593989108,2
21JAN2020,-0.573089018,3
21JAN2020,-0.535436267,4
21JAN2020,-0.486799133,5
21JAN2020,-0.43172296,6
21JAN2020,-0.373633898,7
21JAN2020,-0.315010194,8
